id,name,text,trans
0000000000000,広,コラボカフェって、\nこんなにメニューがあるんだ。,联动咖啡厅的菜单\n居然有这么多啊。
0000000000000,{user},『N.I.A』出場アイドルとのコラボ\nですから、メニューも多くなりますね。,因为是和『N.I.A』参赛偶像的联动活动，\n所以菜单也会比较丰富呢。
0000000000000,広,ドリンクの感想を言えばいいんだよね。\nどれから飲もう？,只要说说饮品的感想就行了吧。\n该从哪杯开始喝呢？
select,,篠澤広の\nコラボドリンク,筱泽广的\n联动饮品
select,,倉本千奈の\nコラボドリンク,仓本千奈的\n联动饮品
select,,花海佑芽の\nコラボドリンク,花海佑芽的\n联动饮品
0000000000000,広,わたしのドリンク、どんな味なのかな。\nふふ……たのしみ。,不知道我的饮品会是什么味道呢。\n呵呵……真期待。
0000000000000,{user},いろんなドリンクを味わって、\n篠澤さんも楽しめたようだな。,品尝了各种饮品后，\n看来筱泽同学也很享受呢。
0000000000000,広,うん。千奈の友達として、\nしっかり味を確かめてくる。,嗯。作为千奈的朋友，\n我要好好确认下味道。
0000000000000,{user},いろんなドリンクを味わって、\n篠澤さんも楽しめたようだな。,品尝了各种饮品后，\n看来筱泽同学也很享受呢。
0000000000000,広,佑芽が作ったわけじゃないなら、\nきっと大丈夫……でも、どきどきする。,只要不是佑芽亲手做的，\n应该没问题……但还是有点紧张呢。
0000000000000,{user},いろんなドリンクを味わって、\n篠澤さんも楽しめたようだな。,品尝了各种饮品后，\n看来筱泽同学也很享受呢。
info,adv_pevent_002_shro_sales_1-002-02.txt,,
译者,,,
